id,code_insee2,commune_arrivee,code_insee1,commune_depart,migration,X1,Y1,X2,Y2,année,population_2014_1,population_2014_2,categorie_1,categorie_2,is_PSN_1,is_PSN_2
253,30189,Nîmes,31555,Toulouse,114,1,44,4.0,44.0,2014.0,466297,151075,metropole,grande ville,0,0
254,30189,Nîmes,34172,Montpellier,409,4,44,4.0,44.0,2014.0,275318,151075,metropole,grande ville,0,0
255,30189,Nîmes,30007,Alès,130,4,44,4.0,44.0,2014.0,39993,151075,moyenne ville,grande ville,0,0
256,31022,Aucamville,31555,Toulouse,260,1,44,1.0,44.0,2014.0,466297,8132,metropole,petite ville,0,0
257,31032,Aussonne,31555,Toulouse,196,1,44,1.0,44.0,2014.0,466297,6922,metropole,petite ville,0,0
258,31033,Auterive,31555,Toulouse,116,1,44,1.0,43.0,2014.0,466297,9232,metropole,petite ville,0,0
259,31035,Auzeville-Tolosane,31555,Toulouse,123,1,44,1.0,44.0,2014.0,466297,3575,metropole,village et bourg,0,0
260,31044,Balma,31555,Toulouse,509,1,44,2.0,44.0,2014.0,466297,15319,metropole,petite ville,0,0
261,31056,Beauzelle,31555,Toulouse,185,1,44,1.0,44.0,2014.0,466297,6111,metropole,petite ville,0,0
262,31056,Beauzelle,31069,Blagnac,190,1,44,1.0,44.0,2014.0,23416,6111,moyenne ville,petite ville,0,0
263,31066,Bessières,31555,Toulouse,115,1,44,2.0,44.0,2014.0,466297,3777,metropole,village et bourg,0,0
264,31069,Blagnac,31555,Toulouse,867,1,44,1.0,44.0,2014.0,466297,23416,metropole,moyenne ville,0,0
265,31113,Castanet-Tolosan,31555,Toulouse,380,1,44,2.0,44.0,2014.0,466297,12640,metropole,petite ville,0,0
266,31116,Castelginest,31555,Toulouse,226,1,44,1.0,44.0,2014.0,466297,9749,metropole,petite ville,0,0
267,31149,Colomiers,31555,Toulouse,909,1,44,1.0,44.0,2014.0,466297,38541,metropole,moyenne ville,0,0
268,31149,Colomiers,31557,Tournefeuille,175,1,44,1.0,44.0,2014.0,26674,38541,moyenne ville,moyenne ville,0,0
269,31150,Cornebarrieu,31555,Toulouse,149,1,44,1.0,44.0,2014.0,466297,6426,metropole,petite ville,0,0
270,31150,Cornebarrieu,31069,Blagnac,120,1,44,1.0,44.0,2014.0,23416,6426,moyenne ville,petite ville,0,0
271,31157,Cugnaux,31555,Toulouse,361,1,44,1.0,44.0,2014.0,466297,17004,metropole,petite ville,0,0
272,31169,Escalquens,31555,Toulouse,105,1,44,2.0,44.0,2014.0,466297,6273,metropole,petite ville,0,0
273,31187,Fonsorbes,31555,Toulouse,146,1,44,1.0,44.0,2014.0,466297,11743,metropole,petite ville,0,0
274,31203,Frouzins,31555,Toulouse,145,1,44,1.0,44.0,2014.0,466297,8815,metropole,petite ville,0,0
275,31232,Grenade,31555,Toulouse,123,1,44,1.0,44.0,2014.0,466297,8557,metropole,petite ville,0,0
276,31248,Labarthe-sur-Lèze,31555,Toulouse,124,1,44,1.0,43.0,2014.0,466297,5365,metropole,petite ville,0,0
277,31248,Labarthe-sur-Lèze,31395,Muret,119,1,43,1.0,43.0,2014.0,24975,5365,moyenne ville,petite ville,0,0
278,31282,Launaguet,31555,Toulouse,362,1,44,1.0,44.0,2014.0,466297,7936,metropole,petite ville,0,0
279,31291,Léguevin,31555,Toulouse,165,1,44,1.0,44.0,2014.0,466297,8892,metropole,petite ville,0,0
280,31291,Léguevin,31149,Colomiers,107,1,44,1.0,44.0,2014.0,38541,8892,moyenne ville,petite ville,0,0
281,31395,Muret,31555,Toulouse,371,1,44,1.0,43.0,2014.0,466297,24975,metropole,moyenne ville,0,0
282,31417,Pibrac,31555,Toulouse,177,1,44,1.0,44.0,2014.0,466297,8226,metropole,petite ville,0,0
283,31417,Pibrac,31149,Colomiers,170,1,44,1.0,44.0,2014.0,38541,8226,moyenne ville,petite ville,0,0
284,31424,Plaisance-du-Touch,31555,Toulouse,295,1,44,1.0,44.0,2014.0,466297,17278,metropole,petite ville,0,0
285,31424,Plaisance-du-Touch,31557,Tournefeuille,140,1,44,1.0,44.0,2014.0,26674,17278,moyenne ville,petite ville,0,0
286,31433,Portet-sur-Garonne,31555,Toulouse,198,1,44,1.0,44.0,2014.0,466297,9609,metropole,petite ville,0,0
287,31445,Quint-Fonsegrives,31555,Toulouse,159,1,44,2.0,44.0,2014.0,466297,5281,metropole,petite ville,0,0
288,31446,Ramonville-Saint-Agne,31555,Toulouse,540,1,44,1.0,44.0,2014.0,466297,13986,metropole,petite ville,0,0
289,31460,Roquettes,31555,Toulouse,131,1,44,1.0,43.0,2014.0,466297,4182,metropole,village et bourg,0,0
290,31467,Saint-Alban,31555,Toulouse,175,1,44,1.0,44.0,2014.0,466297,5870,metropole,petite ville,0,0
